,precision,recall,f1-score,support
disease_management,0.46153846153846156,0.75,0.5714285714285714,8.0
early_blight,0.8,1.0,0.8888888888888888,8.0
fertilizer,0.8,0.5,0.6153846153846154,8.0
irrigation,0.7777777777777778,0.875,0.8235294117647058,8.0
late_blight,0.7142857142857143,0.625,0.6666666666666666,8.0
prevention,1.0,0.5,0.6666666666666666,8.0
accuracy,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334
macro avg,0.7589336589336589,0.7083333333333334,0.7054274701333524,48.0
weighted avg,0.7589336589336589,0.7083333333333334,0.7054274701333524,48.0
